restaurant_id,score,inspection_date
10,94,20140729
10,92,20140114
10,98,20121114
10,98,20120403
17,94,20140312
17,94,20130605
17,100,20120823
19,94,20141110
19,94,20140214
19,96,20130904
19,100,20121127
19,96,20120323
24,96,20141124
24,96,20140612
24,100,20131118
24,100,20121018
24,100,20120417
29,86,20140814
29,87,20131001
29,87,20121228
29,86,20120521
31,100,20140908
31,100,20121217
45,94,20140909
45,94,20131209
45,96,20121126
45,100,20120417
48,92,20140523
48,90,20131101
48,90,20130327
48,92,20120315
50,100,20140402
50,100,20131002
50,96,20130328
50,100,20121015
50,100,20120404
54,92,20140325
54,96,20131008
54,96,20130326
54,96,20120801
54,96,20120206
56,98,20141117
56,100,20140423
56,94,20131021
56,94,20130327
56,98,20120927
56,100,20120130
58,78,20140725
58,80,20131001
58,100,20130207
58,98,20120201
61,94,20140530
61,92,20131028
61,96,20130329
61,96,20120323
66,98,20141119
66,91,20140519
66,98,20140210
66,100,20130808
66,100,20130201
66,96,20120706
67,94,20140205
67,98,20130801
67,90,20130129
67,93,20120927
67,93,20120321
71,100,20140624
71,100,20120529
73,92,20140522
73,92,20131220
73,92,20130524
73,92,20120514
76,100,20141124
76,96,20140612
76,98,20131118
76,100,20121018
76,100,20120417
77,96,20141124
77,94,20140612
77,100,20131118
77,100,20121018
77,100,20120417
80,100,20140520
80,86,20131204
80,100,20130328
80,100,20120914
80,92,20120222
81,92,20140210
81,96,20130417
81,86,20121024
83,90,20151230
83,91,20131119
83,88,20130204
83,81,20120524
85,88,20140603
85,86,20130909
85,82,20121211
85,90,20120223
88,74,20141014
88,78,20140211
88,85,20130415
88,96,20120827
88,80,20120314
95,85,20141009
95,86,20140506
95,90,20130515
95,96,20120705
98,96,20140324
98,98,20130819
98,89,20121204
99,90,20130306
99,92,20120806
101,96,20140902
101,100,20131030
101,96,20121210
102,91,20140507
102,94,20130829
102,90,20121206
102,94,20120522
104,98,20140612
104,98,20130305
104,98,20120410
108,80,20131105
108,84,20130206
111,92,20140324
111,90,20130819
111,86,20121204
116,96,20140910
116,90,20130416
116,80,20120807
121,90,20140813
121,87,20140129
121,96,20130227
121,100,20120423
125,100,20140915
125,96,20130529
125,89,20121024
125,94,20120322
126,75,20141028
126,70,20140410
126,82,20130716
126,77,20130415
126,70,20120717
130,100,20140930
130,100,20140212
130,92,20121109
130,96,20120202
132,88,20140625
132,87,20130131
132,91,20120508
134,100,20121206
134,100,20120328
140,96,20140709
140,80,20131122
140,100,20121024
140,100,20120411
141,100,20141017
141,98,20140409
141,100,20131003
141,94,20130422
141,92,20120807
141,100,20120207
146,98,20140429
146,94,20131122
146,98,20130529
146,96,20121206
146,98,20120517
151,96,20140312
151,98,20130111
155,94,20140623
155,94,20140224
155,94,20130430
155,96,20120821
164,100,20141017
164,100,20140403
164,96,20130729
164,100,20121003
164,100,20120417
178,90,20140730
178,96,20140204
178,100,20130110
178,100,20120404
179,94,20140522
179,90,20130828
179,88,20121207
180,91,20141104
180,100,20140520
180,91,20131021
180,92,20121213
180,96,20120418
184,96,20140923
184,98,20121106
187,100,20141023
187,100,20140401
187,100,20130905
187,100,20121108
187,100,20120328
190,98,20140421
190,98,20130625
190,98,20121116
190,100,20120430
192,92,20140813
